"Rank","Host/device","Operation Type","Operation Name","#Occurrences","Total time (us)","Avg. time (us)","Total self-time (us)","Avg. self-time (us)","Total self-time on Device (%)","Cumulative total-self time on Device (%)","Total self-time on Host (%)","Cumulative total-self time on Host (%)","Normalized FLOP Rate (FLOPs/s)","Model FLOP Rate (GFLOP/s)","Measured Memory BW (GBytes/Sec)","Operational Intensity (FLOPs/Byte)","GPU TensorCore utilization","Bound by","Execution mode"
"1.0","Device","Unknown","call.594","13.0","2748061.138","211389.3183076923","2748061.138","211389.3183076923","0.35703457193706456","0.35703457193706456","0.0","0.0","29628.716841044312","29628.716841044312","44.530061750241565","619.6688656243484","0.0","Compute","Function"
"2.0","Device","IDLE","IDLE","0.0","1449445.474","0.0","1449445.474","0.0","0.1883153679515065","0.5453499398885711","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","Function"
"3.0","Device","triangular_solve","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve","4696.0","658276.941","140.17822423339013","658276.941","140.17822423339013","0.08552488974718557","0.6308748296357566","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","Function"
"4.0","Device","lu","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_factor))/lu","1174.0","566876.443","482.8589804088586","566876.443","482.8589804088586","0.07364992189184358","0.7045247515276002","0.0","0.0","2.090349441456681","2.090349441456681","10.31029462474587","0.18881997988602078","0.0","HBM","Function"
"5.0","Device","Unknown","call.629","112466.0","335485.062","2.982990966158661","335485.062","2.982990966158661","0.043587008981038754","0.7481117605086389","0.0","0.0","348.9541241690219","348.9541241690219","2.2647785504226525","143.4969671905156","0.0","HBM","Function"
"6.0","Device","Unknown","call.630","72120.0","306435.788","4.248970992789795","306435.788","4.248970992789795","0.039812858921473196","0.7879246194301122","0.0","0.0","0.0","0.0","10351.639767643117","0.0","0.0","HBM","Function"
"7.0","Device","Unknown","call.620","75136.0","301824.714","4.017045277896082","301824.714","4.017045277896082","0.039213777333005226","0.8271383967631174","0.0","0.0","0.0","0.0","10949.295827594286","0.0","0.0","HBM","Function"
"8.0","Device","Unknown","call.622","48256.0","195160.698","4.044278390251989","195160.698","4.044278390251989","0.02535573728904744","0.8524941340521648","0.0","0.0","0.0","0.0","10875.566134749783","0.0","0.0","HBM","Function"
"9.0","Device","Unknown","call.631","45208.0","191667.369","4.239678132188994","191667.369","4.239678132188994","0.024901875762131754","0.8773960098142966","0.0","0.0","0.0","0.0","10374.329307356065","0.0","0.0","HBM","Function"
"10.0","Device","Unknown","call.604","17610.0","134884.703","7.65955156161272","134884.703","7.65955156161272","0.01752453813000397","0.8949205479443005","0.0","0.0","138596.2203479812","138596.2203479812","8921.010007467648","14.468965807504626","0.0","HBM","Function"
"11.0","Device","Unknown","call.603","22306.0","104223.363","4.672436250336232","104223.363","4.672436250336232","0.013540944660943091","0.9084614926052437","0.0","0.0","100936.82154915688","100936.82154915688","269.2849577594492","349.0902028127313","0.0","Compute","Function"
"12.0","Device","scatter","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/while/body/scatter","1021.0","47839.127","46.85516846229187","47839.127","46.85516846229187","0.006215371992312592","0.9146768645975563","0.0","0.0","1.364941295856005","1.364941295856005","0.04148977616210487","30.63888888888889","0.0","HBM","Function"
"13.0","Device","sub","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/while/body/sub","1021.0","40890.789","40.0497443682664","40890.789","40.0497443682664","0.005312627563085836","0.9199894921606421","0.0","0.0","0.1664922630864374","0.1664922630864374","0.03505659200775374","4.423076923076923","0.0","HBM","Function"
"14.0","Device","add","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/while/body/add","1024.0","25358.096","24.763765625","25358.096","24.763765625","0.003294583524836772","0.9232840756854789","0.0","0.0","0.0036892359741835506","0.0036892359741835506","0.018324633311150227","0.1875","0.0","HBM","Function"
"15.0","Device","Unknown","call.618","10566.0","22935.651","2.1707032935831916","22935.651","2.1707032935831916","0.002979853768043391","0.9262639294535223","0.0","0.0","14859.018316942474","14859.018316942474","582.7074900926722","23.74868940331036","0.0","HBM","Function"
"16.0","Device","Unknown","call.616","10566.0","22334.444","2.113803142154079","22334.444","2.113803142154079","0.002901743539372573","0.9291656729928949","0.0","0.0","14405.54770344854","14405.54770344854","565.9091394572795","23.707360140513472","0.0","HBM","Function"
"17.0","Device","Unknown","call.612","10566.0","22132.883","2.0947267650955896","22132.883","2.0947267650955896","0.0028755562597814863","0.9320412292526764","0.0","0.0","13729.448861406803","13729.448861406803","528.2208125211348","24.206819115339812","0.0","HBM","Function"
"18.0","Device","Unknown","call.614","10566.0","21727.555","2.0563652280901","21727.555","2.0563652280901","0.0028228950918864266","0.9348641243445628","0.0","0.0","13930.628474303712","13930.628474303712","548.3247581581135","23.660993934107758","0.0","HBM","Function"
"19.0","Device","Unknown","call.610","10566.0","21528.455","2.037521767934886","21528.455","2.037521767934886","0.002797027551208491","0.9376611518957713","0.0","0.0","13229.508721921755","13229.508721921755","509.35098678193697","24.18948906262339","0.0","HBM","Function"
"20.0","Device","concatenate","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/concatenate","877.0","21006.773","23.95299087799316","21006.773","23.95299087799316","0.0027292493977381397","0.9403904012935094","0.0","0.0","7.567739699952963","7.567739699952963","0.004665751743617782","1510.5833333333333","0.0","Compute","Function"
"21.0","Device","Unknown","call.608","10566.0","20985.33","1.9861186825667236","20985.33","1.9861186825667236","0.002726463472701691","0.943116864766211","0.0","0.0","12663.58361198037","12663.58361198037","487.9613594156412","24.169703329566335","0.0","HBM","Function"
"22.0","Device","Unknown","call.606","10566.0","20392.207","1.929983626727238","20392.207","1.929983626727238","0.0026494035363404684","0.9457662683025515","0.0","0.0","12097.174129705529","12097.174129705529","466.5763009874875","24.146900158032782","0.0","HBM","Function"
