"Rank","Kernel Name","Registers per thread","Shared Mem bytes","Block dim","Grid dim","Theoretical Occupancy %","Op is TensorCore eligible","Kernel uses TensorCore","Op Name","Occurrences","Total Duration (μs)","Avg Duration (μs)","Min Duration (μs)","Max Duration (μs)"
"1.0","memcpy128","16.0","0.0","256,1,1","23040,1,1","100.0","False","False","XlaModule","29728.0","12785639.267","430.087","362.495","451.775"
"2.0","void getrf_panel<double, double, 6, 6, 4, 4, 6, true>(int, double* const*, int, int*, int*, int)","64.0","40960.0","1024,1,1","512,1,1","66.66670227050781","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/vmap(jit(lu_factor))/lu:","463.0","1473385.143","3182.257","3110.006","3257.566"
"3.0","void batch_trsm_left_kernel<double, 64, 4, 3, false, false, true>(cublasTrsmBatchParams2<double>, double, double const*, int)","46.0","4864.0","64,4,1","1,1,128","83.33329772949219","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve:","3704.0","894662.06","241.539","239.011","246.143"
"4.0","void batch_trsm_left_kernel<double, 64, 4, 3, false, false, false>(cublasTrsmBatchParams2<double>, double, double const*, int)","40.0","4864.0","64,4,1","1,1,128","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve:","3704.0","202136.677","54.572","53.729","55.808"
"5.0","memcpy32_post","16.0","0.0","256,1,1","1,1,1","100.0","False","False","XlaModule","195133.0","170997.988","0.876","0.672","3.904"
"6.0","input_reduce_fusion_23","48.0","0.0","256,1,1","640335,1,1","83.33329772949219","False","False","XlaModule","1.0","126356.41","126356.41","126356.41","126356.41"
"7.0","loop_add_fusion_4","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/vmap(vmap(jvp(jit(searchsorted))))/while/body/add:","118528.0","97309.526","0.82","0.799","1.248"
"8.0","loop_select_fusion_127","16.0","0.0","128,1,1","4,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/vmap(vmap(jvp(jit(searchsorted))))/while/body/closed_call/jit(_where)/select_n:","81488.0","91427.408","1.121","1.087","1.44"
"9.0","loop_add_divide_fusion","32.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/while/body/closed_call/div:","36828.0","82229.387","2.232","2.207","2.368"
"10.0","loop_select_fusion_65","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(searchsorted)/while/body/closed_call/jit(_where)/select_n:","62100.0","61911.37","0.996","0.959","1.152"
"11.0","void trsm_batch_left_upper_kernel<double>(cublasTrsmBatchParams<double>, double const* const*, double* const*, double const*, double)","56.0","4608.0","32,8,1","64,1,1","66.66670227050781","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve:","3704.0","59852.996","16.159","8.672","17.888"
"12.0","input_transpose_fusion_11","96.0","8448.0","128,1,1","3456,1,1","41.66669845581055","False","False","XlaModule","463.0","58957.208","127.337","125.729","130.497"
