"Rank","Kernel Name","Registers per thread","Shared Mem bytes","Block dim","Grid dim","Theoretical Occupancy %","Op is TensorCore eligible","Kernel uses TensorCore","Op Name","Occurrences","Total Duration (μs)","Avg Duration (μs)","Min Duration (μs)","Max Duration (μs)"
"1.0","void cutlass::Kernel2<cutlass_80_tensorop_z884gemm_32x16_16x3_tn_align1>(cutlass_80_tensorop_z884gemm_32x16_16x3_tn_align1::Params)","104.0","36864.0","64,1,1","1256,32,1","8.333330154418945","False","False","","1.0","2444684.843","2444684.843","2444684.843","2444684.843"
"2.0","memcpy128","16.0","0.0","256,1,1","5760,1,1","100.0","False","False","","30976.0","842120.895","27.186","19.512","39.886"
"3.0","void getrf_panel<double, double, 6, 6, 4, 4, 6, true>(int, double* const*, int, int*, int*, int)","64.0","40960.0","1024,1,1","128,1,1","66.66670227050781","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_factor))/lu:","587.0","560622.596","955.064","931.594","975.82"
"4.0","void batch_trsm_left_kernel<double, 64, 4, 3, false, false, true>(cublasTrsmBatchParams2<double>, double, double const*, int)","46.0","4864.0","64,4,1","1,1,32","83.33329772949219","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve:","4696.0","421371.324","89.729","89.443","90.712"
"5.0","memcpy32_post","16.0","0.0","256,1,1","1,1,1","100.0","False","False","","195174.0","165656.709","0.848","0.703","3.007"
"6.0","loop_slice_fusion_1","184.0","0.0","128,1,1","160045,1,1","16.66670036315918","False","False","","1.0","149459.061","149459.061","149459.061","149459.061"
"7.0","input_reduce_fusion_32","34.0","0.0","256,1,1","640335,1,1","100.0","False","False","","4.0","125298.792","31324.698","31322.067","31327.665"
"8.0","void batch_trsm_left_kernel<double, 64, 4, 3, false, false, false>(cublasTrsmBatchParams2<double>, double, double const*, int)","40.0","4864.0","64,4,1","1,1,32","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve:","4696.0","124597.827","26.532","26.228","27.287"
"9.0","input_add_multiply_pad_select_transpose_fusion","128.0","8448.0","128,1,1","12,1,1","33.33330154418945","False","False","","587.0","66978.901","114.103","113.455","114.876"
"10.0","loop_select_fusion_30","80.0","0.0","128,1,1","1296,1,1","50.0","False","False","","587.0","51541.637","87.805","87.705","87.961"
"11.0","loop_add_divide_multiply_sqrt_fusion_6","64.0","0.0","128,1,1","1,1,1","66.66670227050781","False","False","","3522.0","46393.529","13.172","10.203","14.652"
"12.0","void trsm_batch_left_upper_kernel<double>(cublasTrsmBatchParams<double>, double const* const*, double* const*, double const*, double)","56.0","4608.0","32,8,1","16,1,1","66.66670227050781","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve:","4696.0","43454.393","9.253","5.054","9.789"
"13.0","input_concatenate_fusion_6","96.0","0.0","1,1,1","1,1,1","1.3020800352096558","False","False","","2220.0","39698.754","17.882","17.656","18.936"
"14.0","input_concatenate_fusion_3","92.0","0.0","1,1,1","1,1,1","1.3020800352096558","False","False","","2220.0","38694.947","17.43","17.208","18.488"
"15.0","input_concatenate_fusion_4","78.0","0.0","1,1,1","1,1,1","1.5625","False","False","","6660.0","35225.986","5.289","4.637","5.566"
"16.0","input_transpose_fusion_12","96.0","8448.0","128,1,1","1152,1,1","41.66669845581055","False","False","","587.0","31636.671","53.895","50.57","60.102"
"17.0","loop_add_divide_exponential_multiply_power_sqrt_subtract_fusion","72.0","0.0","1,1,1","1,1,1","1.5625","False","False","","2220.0","29240.719","13.171","13.018","13.786"
"18.0","loop_add_fusion_6","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/while/body/add:","31184.0","25358.096","0.813","0.767","0.864"
"19.0","memcpy32_post","16.0","0.0","256,1,1","20,1,1","100.0","False","False","","30976.0","24930.341","0.804","0.735","1.247"
"20.0","loop_slice_fusion","54.0","0.0","128,1,1","131056,1,1","75.0","False","False","","1.0","24362.507","24362.507","24362.507","24362.507"
"21.0","loop_divide_exponential_multiply_power_fusion","62.0","0.0","1,1,1","1,1,1","1.5625","False","False","","2220.0","21714.183","9.781","9.627","10.843"
"22.0","input_concatenate_fusion_9","80.0","0.0","3,1,1","1,1,1","4.6875","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/concatenate:","877.0","21006.773","23.952","23.765","24.566"
