"Step","Rank","Category","Operation","# Occurrences","Total Time (us)","Avg. time (us)","Total self time (us)","Avg. self time (us)","Total self time (%)","Cumulative total self time (%)","Normalized FLOP Rate (GFLOP/s)","Model FLOP Rate (GFLOP/s)","Memory BW (GiB/s)","HBM BW (GiB/s)","SHM/L1 BW (GiB/s)","Operational Intensity (FLOP/Byte)","HBM Operational Intensity (FLOP/Byte)","SHM/L1 Operational Intensity (FLOP/Byte)","Bottleneck Operational Intensity (FLOP/Byte)","Bound by","Total Time per core (us)","Total Time (%)","Optimal FLOP Rate (GFLOP/s)","Roofline efficiency (%)","FLOP Rate / Peak (%)","Max memory BW utilization (among supported memories) (%)","Include Infeed/Outfeed","Program ID","Source Info"
"Total","0.0","Program","Program","1.0","7696904.877","7696904.877","0.0","0.0","0.0","0.0","24.062697535790267","24.062697535790267","1.4938065410157155","1.4938065410157155","0.0","15.002031927098086","15.002031927098086","0.0","15.002031927098086","HBM","7696904.877","1.0","7561.744188789937","0.003182162333851826","0.00016954349251295227","0.003182162333851826","True","0",""
"Total","1.0","call","call.594","13.0","2748061.138","211389.3183076923","2748061.138","211389.3183076923","0.35703457193706456","0.35703457193706456","29628.716841044312","29628.716841044312","44.530061750241565","44.53014626961281","0.0","619.6688656243484","619.6676894767879","0.0","619.6688656243484","Compute","2748061.138","0.3570345719370646","141926.4","0.2087611384565825","0.2087611384565825","0.09485977620885482","True","7",""
"Total","2.0","custom-call","custom-call.10","1174.0","561094.312","477.9338262350937","561094.312","477.9338262350937","0.07289869382128782","0.4299332657583524","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","561094.312","0.07289869382128782","0.0","0.0","0.0","0.0","True","7","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:996:22
/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1002:21
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:349:64
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:619:36
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_adjoint.py:393:22
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1416:29
'>/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:996</div>"
"Total","3.0","call","call.629","112466.0","335485.062","2.982990966158661","335485.062","2.982990966158661","0.043587008981038754","0.4735202747393911","348.9541241690219","348.9541241690219","2.2647785504226525","1.496739505200744","0.0","143.4969671905156","217.13120567375887","0.0","217.13120567375887","HBM","335485.062","0.043587008981038754","109444.54995744683","0.003188410243403613","0.0024586977769394695","0.003188410243403613","True","7",""
"Total","4.0","call","call.630","72120.0","306435.788","4.248970992789795","306435.788","4.248970992789795","0.039812858921473196","0.5133331336608643","0.0","0.0","10351.639767643117","5175.812869812182","0.0","0.0","0.0","0.0","0.0","HBM","306435.788","0.039812858921473196","0.0","11.025709360050643","0.0","11.025709360050643","True","7",""
"Total","5.0","call","call.620","75136.0","301824.714","4.017045277896082","301824.714","4.017045277896082","0.039213777333005226","0.5525469109938695","0.0","0.0","10949.295827594286","5474.640494831131","0.0","0.0","0.0","0.0","0.0","HBM","301824.714","0.039213777333005226","0.0","11.662283097372157","0.0","11.662283097372157","True","7",""
"Total","6.0","call","call.622","48256.0","195160.698","4.044278390251989","195160.698","4.044278390251989","0.02535573728904744","0.5779026482829169","0.0","0.0","10875.566134749783","5437.775698366255","0.0","0.0","0.0","0.0","0.0","HBM","195160.698","0.02535573728904744","0.0","11.583752334830525","0.0","11.583752334830525","True","7",""
"Total","7.0","call","call.631","45208.0","191667.369","4.239678132188994","191667.369","4.239678132188994","0.024901875762131754","0.6028045240450487","0.0","0.0","10374.329307356065","5187.157624294798","0.0","0.0","0.0","0.0","0.0","HBM","191667.369","0.024901875762131754","0.0","11.049876378610376","0.0","11.049876378610376","True","7",""
"Total","8.0","call","call.604","17610.0","134884.703","7.65955156161272","134884.703","7.65955156161272","0.01752453813000397","0.6203290621750527","138596.2203479812","138596.2203479812","8921.010007467648","4206.355781517102","0.0","14.468965807504626","30.68636973924771","0.0","30.68636973924771","HBM","134884.703","0.01752453813000397","15467.403294328327","8.960535760957525","0.9765358689291154","8.960535760957525","True","7",""
"Total","9.0","call","call.603","22306.0","104223.363","4.672436250336232","104223.363","4.672436250336232","0.013540944660943091","0.6338700068359958","100936.82154915688","100936.82154915688","269.2849577594492","271.71031628351795","0.0","349.0902028127313","345.97413084814195","0.0","349.0902028127313","Compute","104223.363","0.013540944660943093","141926.4","0.7111913044307253","0.7111913044307253","0.5788074362082212","True","7",""
"Total","10.0","custom-call","triangular-solve.47","4696.0","62041.881","13.21164416524702","62041.881","13.21164416524702","0.00806062722502839","0.6419306340610242","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","62041.881","0.00806062722502839","0.0","0.0","0.0","0.0","True","7","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008:13
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:349:64
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:619:36
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_adjoint.py:393:22
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1416:29
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_jit.py:55:14
'>/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008</div>"
"Total","11.0","custom-call","triangular-solve.49","4696.0","61873.37","13.175760221465078","61873.37","13.175760221465078","0.00803873387923643","0.6499693679402607","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","61873.37","0.00803873387923643","0.0","0.0","0.0","0.0","True","7","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008:13
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:349:64
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:619:36
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_adjoint.py:393:22
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1416:29
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_jit.py:55:14
'>/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008</div>"
