"Rank","Kernel Name","Registers per thread","Shared Mem bytes","Block dim","Grid dim","Theoretical Occupancy %","Op is TensorCore eligible","Kernel uses TensorCore","Op Name","Occurrences","Total Duration (μs)","Avg Duration (μs)","Min Duration (μs)","Max Duration (μs)"
"1.0","loop_add_divide_fusion_6","32.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/while/body/div:","36864.0","81210.273","2.202","2.175","2.4"
"2.0","loop_select_fusion_38","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(evolve_background)/jit(main)/jit(searchsorted)/while/body/jit(_where)/select_n:","61960.0","61380.018","0.99","0.959","1.184"
"3.0","loop_add_fusion_1","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(searchsorted)/while/body/add:","61960.0","50901.725","0.821","0.768","0.961"
"4.0","loop_gather_fusion_2","78.0","0.0","3,1,1","1,1,1","4.6875","False","False","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(lu_solve)/jit(_lu_solve)/gather:","2220.0","48163.478","21.695","21.024","25.408"
"5.0","loop_add_compare_divide_exponential_multiply_power_fusion","112.0","0.0","1,1,1","1,1,1","1.0416699647903442","False","False","","2220.0","46048.212","20.742","20.159","24.224"
"6.0","loop_add_fusion_1","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(evolve_background)/jit(main)/jit(<lambda>)/jit(searchsorted)/vmap(while)/body/add:","51200.0","41852.899","0.817","0.799","0.833"
"7.0","input_concatenate_fusion_1","94.0","0.0","1,1,1","1,1,1","1.3020800352096558","False","False","","2220.0","40194.165","18.105","17.536","21.28"
"8.0","void trsv_ln_exec_up<double, 32u, 32u, 4u, false>(int, double const*, long, double*, long, int*)","64.0","9992.0","32,4,1","1,1,1","66.66670227050781","False","False","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(lu_solve)/jit(_lu_solve)/triangular_solve:","8880.0","31985.112","3.601","3.424","4.097"
"9.0","loop_add_divide_exponential_multiply_power_select_sqrt_fusion","94.0","0.0","1,1,1","1,1,1","1.3020800352096558","False","False","","2220.0","30419.666","13.702","13.375","16.416"
"10.0","void trsv_ln_exec<double, 32u, 32u, 4u, true>(int, double const*, long, double*, long, int*)","48.0","9992.0","32,4,1","1,1,1","83.33329772949219","False","False","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(lu_solve)/jit(_lu_solve)/triangular_solve:","8880.0","25562.099","2.878","2.719","3.297"
"11.0","input_concatenate_fusion_3","80.0","0.0","3,1,1","1,1,1","4.6875","False","False","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(append)/concatenate:","907.0","22101.305","24.367","23.68","28.383"
"12.0","loop_select_fusion_11","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jvp(jit(searchsorted))/while/body/jit(_where)/select_n:","22200.0","21649.021","0.975","0.927","1.248"
"13.0","loop_add_fusion_1","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jvp(jit(searchsorted))/while/body/add:","22200.0","18329.205","0.825","0.768","1.056"
"14.0","loop_add_fusion_1","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(evolve_background)/jit(main)/while/body/add:","20959.0","17314.426","0.826","0.768","0.96"
"15.0","loop_transpose_fusion","78.0","0.0","9,1,1","1,1,1","14.0625","False","False","","2220.0","14368.915","6.472","6.176","8.192"
"16.0","input_concatenate_fusion_2","78.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/mul:","2220.0","13867.046","6.246","6.079","7.232"
"17.0","input_concatenate_fusion","76.0","0.0","1,1,1","1,1,1","1.5625","False","False","","2220.0","13250.5","5.968","5.791","6.944"
"18.0","loop_gather_fusion","76.0","0.0","3,1,1","1,1,1","4.6875","False","False","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(lu_solve)/jit(_lu_solve)/gather:","2220.0","11882.669","5.352","5.088","6.144"
