"Step","Rank","Category","Operation","# Occurrences","Total Time (us)","Avg. time (us)","Total self time (us)","Avg. self time (us)","Total self time (%)","Cumulative total self time (%)","Normalized FLOP Rate (GFLOP/s)","Model FLOP Rate (GFLOP/s)","Memory BW (GiB/s)","HBM BW (GiB/s)","SHM/L1 BW (GiB/s)","Operational Intensity (FLOP/Byte)","HBM Operational Intensity (FLOP/Byte)","SHM/L1 Operational Intensity (FLOP/Byte)","Bottleneck Operational Intensity (FLOP/Byte)","Bound by","Total Time per core (us)","Total Time (%)","Optimal FLOP Rate (GFLOP/s)","Roofline efficiency (%)","FLOP Rate / Peak (%)","Max memory BW utilization (among supported memories) (%)","Include Infeed/Outfeed","Program ID","Source Info"
"Total","0.0","Program","Program","1.0","2647856.635","2647856.635","0.0","0.0","0.0","0.0","0.7071895027277412","0.7071895027277412","0.005642709954582349","0.005642709954582349","0.0","116.72078730301997","116.72078730301997","0.0","116.72078730301997","HBM","2647856.635","1.0","181524.16841365665","3.895842128945608e-06","2.2675819173810078e-06","3.895842128945608e-06","True","0",""
"Total","1.0","custom-call","lu.62","12732.0","31205.959","2.450986412189758","31205.959","2.450986412189758","0.011785365788884564","0.011785365788884564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","31205.959","0.011785365788884563","0.0","0.0","0.0","0.0","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:185:21
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:356:64
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:33:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:38:30
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:655:36
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_adjoint.py:911:22
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:1435:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:55:14
'>/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:185</div>"
"Total","2.0","loop fusion","loop_gather_fusion.2","2122.0","24897.046","11.732820923656927","24897.046","11.732820923656927","0.009402716775109692","0.021188082563994258","13.24131690161154","13.24131690161154","0.016828040511585894","0.016828040511585894","0.0","732.8207547169811","732.8207547169811","0.0","732.8207547169811","Compute","24897.046","0.009402716775109692","311869.44","4.245788526638436e-05","4.245788526638436e-05","1.1618422655128686e-05","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189:13
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:356:64
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:33:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:38:30
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:655:36
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_adjoint.py:911:22
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:1435:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:55:14
'>/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189</div>"
"Total","3.0","input fusion","input_concatenate_fusion.2","2122.0","21702.214","10.227245051837889","21702.214","10.227245051837889","0.008196143897345107","0.029384226461339365","15.167232154286195","15.167232154286195","0.016755573261486793","0.016755573261486793","0.0","843.0380434782609","843.0380434782609","0.0","843.0380434782609","Compute","21702.214","0.008196143897345107","311869.44","4.863327472639254e-05","4.863327472639254e-05","1.156838978649335e-05","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/internal/_loop/loop.py:103:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:82:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:674:18
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_adjoint.py:911:22
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:1435:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:55:14
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:263:37
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:209:19
/home/user/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:284:7
'>/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/internal/_loop/loop.py:103</div>"
"Total","4.0","custom-call","triangular-solve.5","6366.0","15720.093","2.4693831291234685","15720.093","2.4693831291234685","0.005936912441636026","0.03532113890297539","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","15720.093","0.005936912441636025","0.0","0.0","0.0","0.0","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189:13
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:356:64
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:33:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:38:30
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:655:36
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_adjoint.py:911:22
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:1435:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:55:14
'>/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189</div>"
"Total","5.0","custom-call","triangular-solve.7","6366.0","15651.903","2.458671536286522","15651.903","2.458671536286522","0.005911159536777565","0.04123229843975296","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","15651.903","0.005911159536777564","0.0","0.0","0.0","0.0","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189:13
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:356:64
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:33:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:38:30
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:655:36
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_adjoint.py:911:22
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:1435:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:55:14
'>/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189</div>"
"Total","6.0","custom-call","triangular-solve.3","6366.0","15478.862","2.4314894753377314","15478.862","2.4314894753377314","0.005845808188931649","0.047078106628684606","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","15478.862","0.005845808188931649","0.0","0.0","0.0","0.0","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189:13
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:356:64
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:33:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:38:30
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:655:36
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_adjoint.py:911:22
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:1435:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:55:14
'>/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189</div>"
"Total","7.0","custom-call","triangular-solve.1","6366.0","15447.276","2.4265278039585296","15447.276","2.4265278039585296","0.005833879295356941","0.052911985924041546","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","15447.276","0.0058338792953569404","0.0","0.0","0.0","0.0","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189:13
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:356:64
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:33:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:38:30
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:655:36
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_adjoint.py:911:22
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:1435:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:55:14
'>/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189</div>"
"Total","8.0","custom-call","triangular-solve.2","6366.0","15077.158","2.368387998743324","15077.158","2.368387998743324","0.005694099068924856","0.0586060849929664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","15077.158","0.005694099068924855","0.0","0.0","0.0","0.0","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189:13
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:356:64
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:33:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:38:30
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:655:36
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_adjoint.py:911:22
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:1435:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:55:14
'>/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189</div>"
"Total","9.0","custom-call","triangular-solve.4","6366.0","14874.282","2.3365193213949103","14874.282","2.3365193213949103","0.005617480117083454","0.06422356511004985","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","14874.282","0.005617480117083453","0.0","0.0","0.0","0.0","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189:13
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:356:64
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:33:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:38:30
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:655:36
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_adjoint.py:911:22
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:1435:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:55:14
'>/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189</div>"
"Total","10.0","custom-call","triangular-solve","6366.0","14834.48","2.3302670436694943","14834.48","2.3302670436694943","0.005602448336482538","0.06982601344653239","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","14834.48","0.0056024483364825375","0.0","0.0","0.0","0.0","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189:13
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:356:64
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:33:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:38:30
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:655:36
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_adjoint.py:911:22
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:1435:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:55:14
'>/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189</div>"
"Total","11.0","loop fusion","loop_gather_fusion","2122.0","14695.121","6.925127709707822","14695.121","6.925127709707822","0.005549817465853849","0.07537583091238624","9.005898896647398","9.005898896647398","0.06630087538195054","0.06630087538195054","0.0","126.50507099391481","126.50507099391481","0.0","126.50507099391481","HBM","14695.121","0.005549817465853849","196740.68640973634","4.577547766551715e-05","2.8877144540508355e-05","4.577547766551715e-05","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189:13
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:356:64
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:33:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:38:30
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:655:36
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_adjoint.py:911:22
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:1435:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:55:14
'>/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189</div>"
"Total","12.0","custom-call","triangular-solve.6","6366.0","14555.926","2.286510524662268","14555.926","2.286510524662268","0.00549724853211322","0.08087307944449947","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","14555.926","0.0054972485321132195","0.0","0.0","0.0","0.0","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189:13
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:356:64
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:33:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_eval_shape.py:38:30
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:655:36
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_adjoint.py:911:22
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_module/_prebuilt.py:34:15
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/diffrax/_integrate.py:1435:29
/home/user/git/DISCO-EB/.venv/lib/python3.12/site-packages/equinox/_jit.py:55:14
'>/home/user/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189</div>"
"Total","13.0","input fusion","input_concatenate_fusion.5","877.0","13733.426","15.659550741163056","13733.426","15.659550741163056","0.005186619931936006","0.08605969937643547","15.021376020812287","15.021376020812287","0.01189462699165925","0.01189462699165925","0.0","1176.14","1176.14","0.0","1176.14","Compute","13733.426","0.005186619931936005","311869.44","4.8165591411624965e-05","4.8165591411624965e-05","8.212293262489607e-06","True","5","<div class='source-info-cell' title='/home/user/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:440:14
/home/user/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:452:12
/home/user/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:461:11
/home/user/git/DISCO-EB/src/discoeb/background.py:237:82
/home/user/git/DISCO-EB/scripts/profile_background.py:38:0
'>/home/user/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:440</div>"
